Color,Description,MinPrice,StyleNumber,ReviewNumber,MaxPrice,Name,Bullets,ImageUrl,Gender,Clothing,Brand,Size,Sport,AverageRating,Url
Rosario Pink,,79.00,870422,2235,79.00,Coaster Luxe Sweatshirt,"Lenzing Modal®/Polyester/Lycra ,PLUSH NIRVANA. Serenely soft Lenzing Modal® blend has a brushed inner construction for warmth & coziness ,SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources. ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,IT FEELS: Lightweight, unbelievably soft, stretchy comfortable ,Machine wash and dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Plush Nirvana has a cozy brushed interiorFAVE: Longer hem length provides more coverageSide-slits for added mobility #870422",https://athleta.gap.com/webcontent/0017/885/074/cn17885074.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=870422162&cid=1023334&pcid=1006482&vid=1&grid=pds_118_198_1
Black,,98.00,487582,58,98.00,Elation Laser Cut 7/8 Tight in Powervita™,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Targeted laser cut detailing provides cooling airflowBack drop-in pocket stores your essentialsBreathable CoolMax® crotch gussetUnpinchable three-layer waistband with mesh inner lining streamlines and supports #487582",https://athleta.gap.com/webcontent/0017/652/864/cn17652864.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=487582002&cid=1144189&pcid=1006482&vid=1&grid=pds_20_198_1
Oyster,,168.00,500937,3,168.00,Wool Cashmere V-Neck Tunic,"Wool/Cashmere ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Wool-cashmere blend is luxuriously soft and cozy on the skinFAVE: Tunic length for cozy coverageRib detailing adds a stylish dimension #500937",https://athleta.gap.com/webcontent/0017/661/629/cn17661629.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=500937032&cid=1023334&pcid=1006482&vid=1&grid=pds_102_198_1
Torch Red,,24.97 - 54.00,374207) if needed ,280,24.97 - 54.00,A-C Contender Bra,"Polyester/Lycra® Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Medium and high impact workoutsFEEL: PowerLift has sleek and supportive compressionFAVE: Targeted mesh ventilation provides airflow where you need itEasy pocket for use of our Empower Mastectomy Bra Insert (#374207) if needed #405743",https://athleta.gap.com/webcontent/0017/661/926/cn17661926.jpg,women,,athleta,"XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=405743052&cid=1051661&pcid=1006482&vid=1&grid=pds_151_198_1
Arbor Olive,,44.00,502382,6,44.00,Shanti Crop Leopard Tank,"Polyester/Spandex ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: High neckline provides more coverage #502382",https://athleta.gap.com/webcontent/0017/713/349/cn17713349.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=502382012&cid=1023334&pcid=1006482&vid=1&grid=pds_84_198_1
Spring Night Leopard Print,,24.97 - 49.00,374207) if neededFully removable cups ,391,24.97 - 49.00,Breathe In Bra In Powervita™,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,FAIR TRADE. Made in a Fair Trade Certified™ Factory ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Designed for low impact workoutsFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Super-strappy design for more mobilityEasy pocket for use of our Empower Mastectomy Bra Insert (#374207) if neededFully removable cups #405755",https://athleta.gap.com/webcontent/0017/778/820/cn17778820.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=405755092&cid=1144189&pcid=1006482&vid=1&grid=pds_10_198_1
Black,,89.00,486431,2,89.00,Studio Barre Sweatshirt Dress 2.0,"TENCEL™ Modal/Spandex ,SUSTAINABLE: TENCEL Modal™ is a fiber that is produced from European beechwood trees harvested from sustainable forests where 99% of the raw material comes from certified or controlled sources ,EASY CARE. Just throw in the wash and dry without a second thought ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Nirvana is the softest fabric imaginableFAVE: Versatile neckline can be worn off one or both shouldersThumbholes keep sleeves in place #486431",https://athleta.gap.com/webcontent/0017/300/091/cn17300091.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=486431002&cid=1023336&pcid=1006482&vid=1&grid=pds_167_198_1
Maple Red,,228.00,486243,2,228.00,Lofty Down Coat,"Recycled Nylon ,SUSTAINABLE: Made with Recycled Nylon, a high-performance material that helps lessen our impact on the world ,ABRASION-RESISTANT. Resists nicks and tears ,WATER-REPELLENT: Sleek fabric wards off unexpected light rain. ,800-Fill FeatherDry Down Insulation ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Recycled nylon shell is sleek and smoothFAVE: Removable fooler that zips on and off for added warmth and wind protection. #486243",https://athleta.gap.com/webcontent/0017/828/365/cn17828365.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,2.5,https://athleta.gap.com/browse/product.do?pid=486243012&cid=1124332&pcid=1006482&vid=1&grid=pds_1_198_1
Antique Burgundy,,98.00,487748,6,98.00,Tenacity Brush Strokes 7/8 Tight in Powerlift,"Polyester/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Training on the mat, in the ring, or other medium and high impact workouts. Wear at the gym, in the studio, or outdoors.FEEL: PowerLift fabric feels smooth and cool in your hand, sleek and compressive on your body.FAVE: Stretchy, secure waistband provides unparalleled supportBonded stash pockets store your smartphone and essentialsTargeted mesh ventilation provides cooing airflow #487748",https://athleta.gap.com/webcontent/0017/661/366/cn17661366.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=487748002&cid=1023333&pcid=1006482&vid=1&grid=pds_43_198_1
Arbor Olive,,59.00,446564,267,59.00,Conscious Crop in Powervita™,"Nylon/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™ fabric is buttery soft with compression that feels like a gentle hugFAVE: Crop silhouette keeps you breezy during summer yogaThe built-in bra provides additional supportNew lightweight removable pads provide a more natural shapeRacerback design provides airflow and mobilityFAIR TRADE: Made in a Fair Trade Certified™ Factory #446564",https://athleta.gap.com/webcontent/0017/819/880/cn17819880.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=446564082&cid=1051661&pcid=1006482&vid=1&grid=pds_155_198_1
Black Heather 2,,39.97 - 89.00,591375,2843,39.97 - 89.00,Salutation 7/8 Tight In Powervita™,"Nylon/Lycra® Spandex ,POWERVITA. Innovative fabric gives a lighter than light, hugged-in feel ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,IT FEELS: Super lightweight, buttery soft and barely-there, 4-way stretch for freedom of movement ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™ fabric is buttery soft with support that feels like a gentle hugFAVE: Unpinchable three-layer waistband with mesh inner lining streamlines and supportsFlatlock seams minimize chafeBreathable CoolMax® crotch gusset #591375",https://athleta.gap.com/webcontent/0014/729/786/cn14729786.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=591375052&cid=1144189&pcid=1006482&vid=1&grid=pds_12_198_1
Arbor Olive,,89.00,501019,45,89.00,Leopard Elation Ultra High Rise Tight in Powervita,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Three-layer unpinchable waistband smooths and supportsBack drop-in pocket holds your essentials #501019",https://athleta.gap.com/webcontent/0017/778/778/cn17778778.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=501019002&cid=1140924&pcid=1006482&vid=1&grid=pds_25_198_1
Black,,49.00,487749,2,49.00,Yin Bra,"Nylon/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Lightweight, sleek and compressiveFAVE: T-shaped back strap provides support and layers perfectly under your favorite topsNew lightweight removable pads provide a more natural shape #487749",https://athleta.gap.com/webcontent/0017/545/129/cn17545129.jpg,women,,athleta,"32B/C,34B/C,36B/C,38B/C,40B/C,32D/DD,34D/DD,36D/DD,38D/DD,40D/DD",,4.0,https://athleta.gap.com/browse/product.do?pid=487749002&cid=1051661&pcid=1006482&vid=1&grid=pds_164_198_1
Antique Burgundy,,108.00,486212,29,108.00,Interstellar Tight,"Nylon/Lycra ,RATED UPF 50+ (Excellent Protection) ,PACKABLE. Packs down small and comes out smooth as can be ,ABRASION-RESISTANT. Resists nicks and tears ,WRINKLE-RESISTANT. Packable fabric stays sleek & smooth ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: EuroLuxe fabric has a smooth feel and subtle stretch for mobilityFAVE: Back stash pocket fits your smartphone #486212",https://athleta.gap.com/webcontent/0017/688/970/cn17688970.jpg,women,,athleta,"0,2,4,6,8,10,12,14,16",,4.6,https://athleta.gap.com/browse/product.do?pid=486212022&cid=1023333&pcid=1006482&vid=1&grid=pds_56_198_1
Black,,98.00,487732,2,98.00,Tenacity 7/8 Tight in Powerlift,"Polyester/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Training on the mat, in the ring, or other medium and high impact workouts. Wear at the gym, in the studio, or outdoors.FEEL: PowerLift fabric feels smooth and cool in your hand, sleek and compressive on your body.FAVE: Stretchy, secure waistband provides unparalleled supportStash pockets store your smartphone and essentialsBreathable CoolMax® crotch gusset #487732",https://athleta.gap.com/webcontent/0017/651/947/cn17651947.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.0,https://athleta.gap.com/browse/product.do?pid=487732012&cid=1023333&pcid=1006482&vid=1&grid=pds_40_198_1
Mountain Olive,,118.00,486996,11,118.00,Talus Sherpa Half Zip,"Polyester ,PACKABLE. Packs down small and comes out smooth as can be ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Unbelievably cozy sherpa fiber feels soft on the skinFAVE: Zip funnel neck allows for convertibility and temperature controlHalf-zip design for easy on-and-off #486996",https://athleta.gap.com/webcontent/0017/824/456/cn17824456.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=486996022&cid=1023334&pcid=1006482&vid=1&grid=pds_125_198_1
Tanzanite Blue,,74.00,486286,14,74.00,Foresthill Merino Wool Ascent Top,"Wool/Nylon ,EASY CARE. Just throw in the wash and dry without a second thought ,BREATHABLE. Targeted ventilation keeps the air moving ,Machine wash and lay flat to dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offHEEL: Chafe-free seamless merino wool blend stretches with youFAVE: Targeted open-hole mesh provides cooling airflowRuching on side for a feminine detail #486286",https://athleta.gap.com/webcontent/0017/713/292/cn17713292.jpg,women,,athleta,"XS,S,M,L,XL",,4.5,https://athleta.gap.com/browse/product.do?pid=486286042&cid=1023334&pcid=1006482&vid=1&grid=pds_76_198_1
Antique Burgundy,,64.00,486291,20,64.00,Speedlight Heather Top,"Nylon ,EASY CARE. Just throw in the wash and dry without a second thought ,Wicking, Unstinkable, Breathable ,UPF 50+ ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high-impact workoutsFEEL: Chafe-free seamless fabric stretches with every moveFAVE: Hem-grippers give you a stay-put fitThumbholes keep your sleeves in place #486291",https://athleta.gap.com/webcontent/0017/661/402/cn17661402.jpg,women,,athleta,"XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=486291012&cid=1023334&pcid=1006482&vid=1&grid=pds_67_198_1
Arbor Olive Leopard Print,,54.00,511388,23,54.00,A-C Actualize Longline Bra,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Longline design provides more coverage and a fit that stays putNew lightweight removable pads provide a more natural shape #511388",https://athleta.gap.com/webcontent/0017/778/768/cn17778768.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=511388022&cid=1144189&pcid=1006482&vid=1&grid=pds_19_198_1
Antique Burgundy,,44.00,502383,1,44.00,Shanti Crop Rib Tank,"Nylon/Spandex ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: Rib texture flatters your form #502383",https://athleta.gap.com/webcontent/0017/661/426/cn17661426.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=502383002&cid=1023334&pcid=1006482&vid=1&grid=pds_85_198_1
Maple Red,,89.00,502851,23,89.00,24/7 Funnel Neck Sweatshirt,"Organic Cotton/Polyester/Cotton ,SUSTAINABLE: Organic cotton is grown without harmful pesticides, so it benefits the whole ecosystem ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Organic cotton fleece is amazingly soft on the skin and perfect for winter layeringFAVE: Side slits for extra mobility and styling #502851",https://athleta.gap.com/webcontent/0017/546/269/cn17546269.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.8,https://athleta.gap.com/browse/product.do?pid=502851002&cid=1023334&pcid=1006482&vid=1&grid=pds_115_198_1
Black,,38.00,474972,1,38.00,Resolve Cap,"Polyester/Nylon ,Wipe clean. ,Imported. ,Product Details : FOR: Long distance, short distance and trail runningFEEL: Thermo-radiant lining retains body heat without adding bulkFAVE: Reflective details for early morning or night running #474972",https://athleta.gap.com/webcontent/0017/359/559/cn17359559.jpg,women,,athleta,One Size,,5.0,https://athleta.gap.com/browse/product.do?pid=474972002&cid=1123437&pcid=1006482&vid=1&grid=pds_186_198_1
Grey Heather,,59.00,512289,2,59.00,Foresthill Ascent Heather Tank,"Nylon/Wool/ Spandex ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and lay flat to dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Chafe-free seamless merino wool blend stretches with youFAVE: Targeted open-hole mesh provides cooling airflowRuching on side adds a feminine detail #512289",https://athleta.gap.com/webcontent/0017/663/529/cn17663529.jpg,women,,athleta,"XS,S,M,L,XL",,3.5,https://athleta.gap.com/browse/product.do?pid=512289002&cid=1023334&pcid=1006482&vid=1&grid=pds_94_198_1
Light Grey Heather/ Charcoal Heather,,98.00,500936,8,98.00,Transit Colorblock Turtleneck,"Merino Wool/Nylon/Elastane ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Luxuriously soft boucl� yarn feels cozy on the skinFAVE: Side slits provide extra mobility #500936",https://athleta.gap.com/webcontent/0017/828/257/cn17828257.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=500936002&cid=1023334&pcid=1006482&vid=1&grid=pds_103_198_1
Black,,108.00,487750,3,108.00,Rainier Reflective Tight in Powerlift,"Nylon/Spandex ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts in cold climatesFEEL: PowerLift fabric feels smooth and cool in your hand, sleek and compressive on your body.FAVE: Reflective detailing for workouts at dusk or dawnUnpinchable three-layer waistband with mesh inner lining streamlines and supportsReflective details for early morning or after-dusk workoutsFully adjustable NeverEnd drawstring won't get lost in the wash #487750",https://athleta.gap.com/webcontent/0017/806/408/cn17806408.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=487750002&cid=1023333&pcid=1006482&vid=1&grid=pds_51_198_1
Natural,,168.00,500915,23,168.00,Tugga Long Sherpa Jacket,"Polyester ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from yoga practice and studio workoutsFEEL: Unbelievably cozy sherpa fabric feels soft on the skinFAVE: High collar for extra warmth in cold conditions2-way zipper for added mobilityRemovable hood with snaps for easy customizationSecure zip pockets to stash essentials #500915",https://athleta.gap.com/webcontent/0017/667/619/cn17667619.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.5,https://athleta.gap.com/browse/product.do?pid=500915012&cid=1063661&pcid=1006482&vid=1&grid=pds_131_198_1
Nude,,150.00,473252,1,150.00,Arizona Shearling Sandal by Birkenstock®,"Suede/Cork/EVA ,Anatomically shaped cork-latex footbed with lambswool lining ,Wipe clean. ,Imported. ,Product Details : FOR: To and from the yoga studio, and rest daysFEEL: Lined with lambswool for supreme comfortFAVE: Anatomically shaped cork-latex footbed provides amazing supportLambswool-lined straps with two individually adjustable metal pin buckles #473252",https://athleta.gap.com/webcontent/0017/500/022/cn17500022.jpg,women,,athleta,"36,37,38,39,40,41",,4.0,https://athleta.gap.com/browse/product.do?pid=473252012&cid=1123437&pcid=1006482&vid=1&grid=pds_184_198_1
Black,,59.00,374207) if needed ,6,59.00,Tenacity Mesh Plunge Bra,"Polyester/Lycra ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,RATED UPF 50+ (Excellent Protection) ,Machine wash and line dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts at the gym, studio or outdoorsFEEL: PowerLift fabric feels smooth and cool in your hand, sleek and compressive on your body.FAVE: Targeted mesh ventilation provides cooling airflowEasy pocket for use of our Empower Pad Mastectomy Bra Insert (#374207) if needed #486373",https://athleta.gap.com/webcontent/0017/651/925/cn17651925.jpg,women,,athleta,"XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=486373002&cid=1051661&pcid=1006482&vid=1&grid=pds_150_198_1
Putty,,89.00,502851,23,89.00,24/7 Funnel Neck Sweatshirt,"Organic Cotton/Polyester/Cotton ,SUSTAINABLE: Organic cotton is grown without harmful pesticides, so it benefits the whole ecosystem ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Organic cotton fleece is amazingly soft on the skin and perfect for winter layeringFAVE: Side slits for extra mobility and styling #502851",https://athleta.gap.com/webcontent/0017/549/592/cn17549592.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,3.8,https://athleta.gap.com/browse/product.do?pid=502851012&cid=1023334&pcid=1006482&vid=1&grid=pds_117_198_1
Medium Grey Heather,,168.00,500937,3,168.00,Wool Cashmere V-Neck Tunic,"Wool/Cashmere ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Wool-cashmere blend is luxuriously soft and cozy on the skinFAVE: Tunic length for cozy coverageRib detailing adds a stylish dimension #500937",https://athleta.gap.com/webcontent/0017/661/658/cn17661658.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.7,https://athleta.gap.com/browse/product.do?pid=500937012&cid=1023334&pcid=1006482&vid=1&grid=pds_100_198_1
Black,,89.00,500564,19,89.00,Venice Side Stripe Jogger,"Nylon/Lycra ,WICKING. Pulls sweat away from the body so it can evaporate faster ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Commuting, work and travelFEEL: Lightweight Pilayo® fabric is soft and stretchyFAVE: Zip pocket secures your essentials #500564",https://athleta.gap.com/webcontent/0017/713/424/cn17713424.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.9,https://athleta.gap.com/browse/product.do?pid=500564002&cid=1023333&pcid=1006482&vid=1&grid=pds_54_198_1
Lavish Lime,,98.00,510492,2,98.00,Transit Crew Sweater,"Fine Merino Wood/Nylon/Elastane ,Hand wash or dry clean. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Luxuriously soft and cozyFAVE: The relaxed fit gives you freedom to move #510492",https://athleta.gap.com/webcontent/0017/713/818/cn17713818.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=510492012&cid=1023334&pcid=1006482&vid=1&grid=pds_107_198_1
Tanzanite Blue/ Black,,89.00,486317,7,89.00,Flurry Peak Turtleneck,"Nylon ,UNSTINKABLE. Odor-controlling yarns ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,UPF 50+ ,Machine wash and dry. ,Imported. ,Product Details : FOR: Medium and high impact workouts in cold climatesFEEL: Chafe-free seamless fabric stretches with every moveFAVE: Thumbholes keep your sleeves in place #486317",https://athleta.gap.com/webcontent/0017/713/617/cn17713617.jpg,women,,athleta,"XS,S,M,L,XL",,4.6,https://athleta.gap.com/browse/product.do?pid=486317012&cid=1023334&pcid=1006482&vid=1&grid=pds_60_198_1
Spring Night,,44.00,502382,6,44.00,Shanti Crop Leopard Tank,"Polyester/Spandex ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: High neckline provides more coverage #502382",https://athleta.gap.com/webcontent/0017/795/194/cn17795194.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=502382002&cid=1023334&pcid=1006482&vid=1&grid=pds_83_198_1
Navy,,89.00,487742,6,89.00,Crest Colorblock Tight,"Nylon/Spandex ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,RATED UPF 50+ (Excellent Protection) ,Machine wash and dry. ,Imported. ,Product Details : FOR: Hiking, climbing and exploring-on the trail or offFEEL: Sculptek™ Light fabric feels smooth in your hand, supportive and stretchy on the body.FAVE: Easy-access pockets stash your essentialsFully adjustable NeverEnd drawstring won't get lost in the wash #487742",https://athleta.gap.com/webcontent/0017/675/022/cn17675022.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=487742012&cid=1023333&pcid=1006482&vid=1&grid=pds_35_198_1
Spring Night,,79.00,502398,26,79.00,Pure Luxe Leopard Print Sweatshirt,"TENCEL™ Modal/Polyester/Lycra ,SUSTAINABLE: TENCEL™ Modal fiber is made from sustainably sourced wood pulp where 99% of the raw material comes from certified or controlled sources ,PACKABLE. Packs down small and comes out smooth as can be ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: Relaxed with room to moveFEEL: Nirvana is the softest fabric imaginableFAVE: Banded hem provides a stay-put live-in comfortable fit and on-trend leopard print. #502398",https://athleta.gap.com/webcontent/0017/662/010/cn17662010.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,4.8,https://athleta.gap.com/browse/product.do?pid=502398002&cid=1023334&pcid=1006482&vid=1&grid=pds_113_198_1
Arbor Olive,,44.00,502382,6,44.00,Shanti Crop Leopard Tank,"Polyester/Spandex ,QUICK-DRYING. Dries in a flash for the ultimate comfort when breaking a sweat ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,WICKING. Pulls sweat away from the body so it can evaporate faster ,Machine wash and dry. ,Imported. ,Product Details : FOR: Indoor and outdoor yoga practice, and life off the matFEEL: Powervita™  fabric is buttery soft to the touch with support that feels like a gentle hugFAVE: High neckline provides more coverage #502382",https://athleta.gap.com/webcontent/0017/713/349/cn17713349.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=502382012&cid=1144189&pcid=1006482&vid=1&grid=pds_18_198_1
Putty,,108.00,486257,1,108.00,Tenacity Hoodie,"Organic Cotton/Polyester ,SUSTAINABLE: Organic cotton is grown without harmful pesticides, so it benefits the whole ecosystem ,BREATHABLE. Sweat can travel through the fabric so it can evaporate on the surface ,EASY CARE. Just throw in the wash and dry without a second thought ,Machine wash and dry. ,Imported. ,Product Details : FOR: To and from the ring and studio workoutsFEEL: Soft, comfortable fabricFAVE: Easy-access pockets with hidden phone pocket inside #486257",https://athleta.gap.com/webcontent/0017/661/115/cn17661115.jpg,women,,athleta,"XXS,XS,S,M,L,XL",,5.0,https://athleta.gap.com/browse/product.do?pid=486257012&cid=1063661&pcid=1006482&vid=1&grid=pds_144_198_1
